numero_emenda;exercicio;subacao;unidade_gestora;credor;valor_empenhado;obs
493;2019;"EH4D - EMENDA PARLAMENTAR NO.493/2019";"PROCURADORIA GERAL DA JUSTIÇA";"PF88888020 - DIARIAS DE SERVIDOR";8962.28;"SEI 25375/2023-89 -EMPENHO ESTIMATIVO DE DIÁRIAS  ( COM RECURSO DE EMENDA PARLAMENTAR) CONFORME DESPACHO Nº 678/2023 DEMTC.  COG: 2023.0843.522.04"
704;2019;"EHWD - EMENDA PARLAMENTAR NO.704/2019";"SECRETARIA DE EDUCAÇÃO";"11542750000101 - TROPICOS ENGENHARIA E COMERCIO LTDA";0;"DESPESA REFERENTE AO SALDO DA EMENDA PARLAMENTAR Nº 704/2020 DO CONTRATO Nº 052/2020-SEE, CONFORME SEI Nº 1400003004.000151/2022-17."
726;2021;"EHWZ - EMENDA PARLAMENTAR NO.726/2019";"SECRETARIA DE EDUCAÇÃO";"12658530000100 - FUNDACAO TERRA";0;"FORMALIZAÇÃO DE TERMO DE FOMENTO COM A FUNDAÇÃO TERRA PARA EXECUÇÃO DO TERRA QUE EDUCA. ATRAVÉS DA EMENDA PARLAMENTAR Nº 445 - ROMÁRIO DIAS. SEI 1400004688.000155/2023-54"
836;2021;"EJ78 - EMENDA PARLAMENTAR NO.836/2021";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"05699639000120 - CENTRO EDUCACIONAL E CULTURAL CARANGUEJO TABAIARES";0;"REALIZAÇÃO DE OFICINAS DE ARTE E INCLUSÃO, QUE PROPÕEM UMA IMERSÃO CRIATIVA NO UNIVERSO DE ARTISTAS VISUAIS E DE PRODUÇÕES AUDIOVISUAIS BRASILEIRAS. EMENDA PARLAMENTAR Nº 836/2021. SEI 2000000001.006334/2022-17."
0136;2022;"EJS4 - EMENDA PARLAMENTAR NO.136/2022";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"14822583000140 - INSTITUTO PAPIRO: PESQUISA ANTROPOLOGICA E SOCIAL";20000;"EMENDA PARLAMENTAR N° 0136/2022, P/REALIZAÇÃO DO PROJETO ""AQUISIÇÃO DE MOBILIÁRIO E EQUIPAMENTOS DESTINADOS AO TRABALHO DO INSTITUTO PAPIRO"". SEI 2000000054.001212/2023-08."
138;2022;"EJLQ - EMENDA DERIVADA 6024/2022";"FUNDO ESTADUAL DE SAÚDE";"11434981000100 - FUNDO MUNICIPAL DE SAUDE DE OURICURI";0;"2300000029.003994/2022-90, OF. 025/2022, SOF.247/2022-SES/NUGEP, PLANO DE TRABALHO (31565617), EMENDA PARLAMENTAR Nº 138/22, PARA AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS, PARA ATENDER AS REDE MUNICIPAL DE SAÚDE DO MUNICÍPIO DE OURICURI-PE"
0150;2022;"EJSI - EMENDA PARLAMENTAR NO.150/2022";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"07553412000106 - INSTITUTO INTERCIDADANIA";110000;"EMENDA PARLAMENTAR Nº 0150/2022, OBJETO: AQUISI^AO DE EQUIPAMENTOS E MOBILIARIO PARA FUNCIONAMENTO DO ESPA^O DE FORMAGAO CULTURAL DO INSTITUTE. SEI 2000000054.001141/2023-35."
249;2022;"EKIO - EMENDA DERIVADA 9028/2023";"FUNDO ESTADUAL DE SAÚDE";"10667814000138 - FUNDACAO ALTINO VENTURA";120000;"2300000029.006265/2023-76. OFÍCIO Nº 93/2023. SOF  329/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 249/2022 REFERENTE A AQUISIÇÃO DE MATERIAIS MÉDICOS DE CONSUMO PARA PRESTAÇÃO DE SERVIÇOS MÉDICOS OFTALMOLÓGICOS."
270;2022;"EJ98 - EMENDA DERIVADA 1007/2022";"FUNDO ESTADUAL DE SAÚDE";"11356210000133 - FUNDO MUNICIPAL DE SAUDE DO SIRINHAEM";0;"2300000029.001258/2022-05, OF.119/2022, SOF.69/2022-SES/NUGEP,  EMENDA PARLAMENTAR Nº 270/22 DESTINADA À AQUISIÇÃO DE EQUIPAMENTOS PARA O MUNICIPIO DE SIRINHAEM"
335;2022;"EITB - EMENDA DERIVADA 3073/2022";"SECRETARIA DE MEIO AMBIENTE, SUSTENTABILIDADE E DE FERNANDO DE NORONHA";"11735586000159 - FUNDACAO DE APOIO AO DESENVOLVIMENTO DA UNIVERSIDADE FEDERAL DE PERNAMBUCO";90000;"VALOR QUE SE EMPENHA PARA ATENDER AO DESPACHO 3184 (GGPG), REFERENTE A TRANSFERENCIA DE RECURSOS DA EMENDA PARLAMENTAR 307232022, DOC INTEGRANTE DO SEI Nº 3600007964.000030/2022-29"
0367;2022;"EIU7 - EMENDA PARLAMENTAR NO.367/2021";"FUNDO ESTADUAL DE SAÚDE";"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE";0;"2300000029.002324/2022-56, OFICIO GP Nº 289/2022, SOF.151/2022-SES/NUGEP, PLANO DE TRABALHO (28168329), OBJETO: AQUISIÇÃO DE 01 AMBULANCIA PARA O MUNICIPIO, CONFORME EMENDA PARLAMENTAR Nº 0367-2021"
369;2022;"EJLH - EMENDA DERIVADA 6027/2022";"FUNDO ESTADUAL DE SAÚDE";"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA";0;"2300000029.002683/2022-11, OFÍCIO Nº 0085/2022- UBTM , SOF.164/2022-SES/NUGEP, PLANO DE TRABALHO (27302278), REF.AOS PROCEDIMENTOS DE (MAC), PELO HOSPITAL E MATERNIDADE ARMINDO MOURA, CONFORME EMENDA PARLAMENTAR Nº 369/2022"
0389;2022;"EJZ5 - EMENDA PARLAMENTAR NO.389/2022";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"18054184000138 - ALPHA SOCIAL DE PERNAMBUCO";40000;"EMENDA PARLAMENTAR N° 0389/2022, P/REALIZAÇÃO DO PROJETO ""CURSO DE CAPACITAÇÃO PARA PRODUTORES CULTURAIS"" CONFORME SEI 2000000054.001213/2023-44."
425;2022;"EJGX - EMENDA DERIVADA 8000/2022";"FUNDO ESTADUAL DE SAÚDE";"11431858000127 - FUNDO MUNICIPAL DE SAUDE DE CARNAIBA";0;"2300000029.003144/2022-91, OF.108/22, SOF.197/2022-SES/NUGEP, PLANO DE TRABALHO (30269607), EMENDA PARLAMENTAR Nº 425/2022"
438;2022;"EJNB - EMENDA DERIVADA 8058/2022";"FUNDO ESTADUAL DE SAÚDE";"11371082000105 - FUNDO MUNICIPAL DE SAUDE DE CARUARU";0;"2300000029.003530/2022-83. SOF  205/2022 - SES - NUGEP. EMENDA PARLAMENTAR Nº 438/22 OBJETIVANDO A AQUISIÇÃO DE VEÍCULOS TIPO VAN PARA O TRANSPORTE INTRAMUNICIPAL DE PACIENTES EM TRATAMENTO NO MUNICÍPIO DE CARUARU/PE"
439;2022;"EJI4 - EMENDA DERIVADA 6013/2022";"FUNDO ESTADUAL DE SAÚDE";"35673300000116 - LIGA NORDESTINA DE ASSITENCIA EDUCACAO E SAUDE";0;"2300000029.001870/2022-70, OF.93/2022, SOF.131/2022-SES/NUGEP, PLANO DE TRABALHO (28892992), EMENDA PARLAMENTAR Nº 439/2022 DESTINADA P/ AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS PARA O HOSPITAL MEMORIAL ALZIRA RIBEIRO"
452;2022;"EKFI - EMENDA DERIVADA 7009/2023";"SECRETARIA ESPECIAL DA MULHER";"10408839000117 - PAULISTA PREFEITURA";200000;"EMPENHO DESTINA-SE A ATENDER TRANSFERÊNCIA VOLUNTÁRIA AO MUNICÍPIO DE PAULISTA ORIUNDO DE EMENDA PARLAMENTAR Nº452/2022 A SER EXECUTADA PELA SECRETARIA EXECUTIVA DA MULHER DO PAULISTA  SEI: 4400000060.000633/2023-10"
499;2022;"EJH4 - EMENDA DERIVADA 4093/2022";"FUNDO ESTADUAL DE SAÚDE";"10667814000138 - FUNDACAO ALTINO VENTURA";0;"2300000029.001933/2022-98. OFÍCIO 21/22. SOF 116/2022  SES - NUGEP. EMENDA PARLAMENTAR Nº 499/22 REF. A AQUISIÇÃO DE MATERIAIS MÉDICOS DE CONSUMO PARA PRESTAÇÃO DE SERVIÇOS MÉDICOS OFTALMOLÓGICOS EM PACIENTES DO SUS NO ESTADO DE PERNAMBUCO."
0547;2022;"EIZ7 - EMENDA PARLAMENTAR NO.547/2021";"FUNDO ESTADUAL DE SAÚDE";"06242368000142 - FUNDO MUNICIPAL DE SAUDE DE BREJINHO";0;"2300000029.002988/2022-15. OFÍCIO GP Nº 098/2022. SOF  182/2022 - SES - NUGEP. EMENDA PARLAMENTAR Nº 0547/22 OBJETIVANDO A AQUISIÇÃO DE 01 (UMA) AMBULÂNCIA"
0579;2022;"EJ03 - EMENDA DERIVADA 5101/2022";"FUNDO ESTADUAL DE SAÚDE";"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE";0;"2300000029.002486/2022-94, OF.288/22, SOF.178/22-SES/NUGEP, PLANO DE TRABALHO (30569622), OBJETO: AQUISIÇÃO DE 01 AMBULANCIA PARA O MUNICIPIO, CONFORME EMENDA PARLAMENTAR Nº 0579/2022"
603;2022;"EJ94 - EMENDA DERIVADA 1014/2022";"FUNDO ESTADUAL DE SAÚDE";"01206707000111 - ASSOCIACAO DOS PORTADORES DE DEFICIENCIA DE CARUARU";0;"2300000029.001287/2022-69,  OFICIO Nº 008/2022, SOF 77/2022-SES/NUGEP, OBJETO: AQUISIÇÃO DE VEICULO PARA TRANSPORTE DE USUÁRIOS DA APODEC, CONFORME EMENDA PARLAMENTAR Nº 603/2022"
643;2022;"EJL7 - EMENDA DERIVADA 8076/2022";"FUNDO ESTADUAL DE SAÚDE";"04712650000110 - INSTITUTO ESPERANCA DE BENEFICENCIA EM SAUDE DE PERNAMBUCO";0;"2300000029.003357/2022-13, OF.120/22, SOF.201/2022-SES/NUGEP, PLANO DE TRABALHO (28852284), EMENDA PARLAMENTAR Nº 643/22, DESTINADA PARA AÇÕES FILANTRÓPICAS NA PRESTAÇÃO DE SERVIÇOS À SAÚDE DA POPULAÇÃO PERNAMBUCANA."
781;2022;"EJ5P - EMENDA DERIVADA 8070/2022";"FUNDO ESTADUAL DE SAÚDE";"41229113000140 - GESTOS SOROPOSITIVIDADE COMUNICACAO E GENERO";0;"2300000029.002314/2022-11, OF.15/22, SOF.208/2022-SES/NUGEP, PLANO DE TRABALHO (30857642), EMENDA PARLAMENTAR Nº 781/22, DESTINADA PARA ATENDIMENTO PSICOSSOCIAL DE PESSOAS ACOMETIDA COM HIV AIDS NO ESTADO DE PE."
1024;2022;"EJ9L - EMENDA DERIVADA 1024/2022";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"36122645000144 - CENTRO DE ATIVIDADES CELEIRO DE IDEIAS - CACI";0;"REALIZAÇÃO DO PROJETO DANÇA POPULAR PARA TODOS, QUE TEM O OBJETIVO DE PROMOVER A CULTURA PERNAMBUCANA, ATRAVÉS DE OFICINAS E AULAS NA RMR. EMENDA PARLAMENTAR Nº 1024/2022. SEI 2000000001.006084/2022-15."
2103;2022;"EJDV - EMENDA DERIVADA 2103/2022";"SECRETARIA DE CULTURA DO ESTADO DE PERNAMBUCO";"30956784000197 - ACADEMIA BRASILEIRA DE CIENCIAS CRIMINAIS - ABCCRIM";0;"REALIZAÇÃO DE OFICINAS, SEMINÁRIOS, PALESTRAS, CAPACITAÇÃO COM O OBJETIVO NO DESENVOLVIMENTO SUSTENTÁVEL NA ÁREA CULTURAL, SENDO O PÚBLICO ALVO ESTUDANTES DA REDE ESTADUAL PÚBLICA E PRIVADO EMENDA PARLAMENTAR 2103/2022. SEI 2000000001.003230/2022-51."
6031;2022;"EJLI - EMENDA DERIVADA 6031/2022";"SECRETARIA DE EDUCAÇÃO";"10091569000163 - MUNICIPIO DE SANTA CRUZ DO CAPIBARIBE";180000;"AQUISIÇÃO DE VEÍCULO PARA TRANSPORTE ESCOLAR NO MUNICÍPIO DE SANTA CRUZ DO CAPIBARIBE/PE. EMENDA PARLAMENTAR N° 6031/2022. CONFORME CI N° 02/2023 CTE/GAM. SEI N° 1400003140.000002/2023-74"
6042;2022;"EJLF - EMENDA DERIVADA 6042/2022";"INSTITUTO AGRONOMICO DE PERNAMBUCO";"11049855000123 - PREFEITURA DE VITORIA DE SANTO ANTAO";0;"EP 6042/2022 - OBJETO DE AQUISIÇÃO DE UMA MOTONIVELADORA (PATROL), PARA FORTALECER A AGRICULTURA FAMILIAR DO MUNICÍPIO DE VITÓRIA DE SANTO ANTÃO."
7029;2022;"EJKI - EMENDA DERIVADA 7029/2022";"SECRETARIA DE DESENVOLVIMENTO AGRARIO, AGRICULTURA, PECUARIA E PESCA";"01844555002398 - CNH INDUSTRIAL BRASIL LTDA";0;"VALOR RF A AQUISIÇÃO DE TRATOR - EMENDA PARLAMENTAR Nº7029/2022 - PARA O MUNICÍPIO DE AGUAS BELAS."
13;2023;"ELTG - EMENDA DERIVADA 40013/2024";"COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS";"09534663000160 - CLUBE DE MAES MARIA BENIGNA - CMMAB";50000;"REF. EMENDA PARLAMENTAR 13/2023 - CONFORME SOLICITADO NO SEI Nº 0060900126.000741/2024-29"
52;2023;"EKCQ - EMENDA DERIVADA 4011/2023";"FUNDO ESTADUAL DE SAÚDE";"11866365000110 - CENTRO HOSPITALAR SANTA MARIA";263300;"2300000029.003053/2023-37. SOF  204/2023 - SES - NUGEP. OF 014/23. EMENDA PARLAMENTAR Nº 52/23 OBJETIVANDO A COMPRA DE INSUMOS PARA REALIZAÇÃO DE PROCEDIMENTTOS DE ALTA E MÉDIA COMPLEXIDADE."
71;2023;"EKJ4 - EMENDA DERIVADA 9023/2023";"FUNDO ESTADUAL DE SAÚDE";"09471844000195 - FUNDO MUNICIPAL DE SAUDE DE JAQUEIRA";233531.84;"2300000029.005947/2023-61, OFÍCIO SMS Nº 102/2023, SOF.314/2023 - SES/NUGEP, PLANO DE TRABALHO: (45089809), NOTA TECNICA (45041644), EMENDA PARLAMENTAR Nº 71/2023, DESTINA-SE A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS"
082;2023;"EJQM - EMENDA PARLAMENTAR NO.82/2022";"FUNDO ESTADUAL DE SAÚDE";"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA";80000;"2300000029.000938/2023-84. OFÍCIO Nº 0044/2023- UBTM. SOF  98/2023 - SES NUGEP.  NOTA TÉCNICA DGAIS 58/2023. EMENDA PARLAMENTAR Nº 082/23 OBJETIVANDO A AQUISIÇÃO DE EQUIPAMENTOS PARA SALAS DE CIRURGIA DO HOSPITAL ARMINDO MOURA."
113;2023;"EJRH - EMENDA DERIVADA 1000/2023";"FUNDO ESTADUAL DE SAÚDE";"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO";100000;"2300000029.001654/2023-13. SOF 333/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 113/23 P/ ATENDER O ""PROJETO ENXERGAR: RESTAURAR A VISÃO E A QUALIDADE DE VIDA""."
138;2023;"EJLQ - EMENDA DERIVADA 6024/2022";"FUNDO ESTADUAL DE SAÚDE";"11434981000100 - FUNDO MUNICIPAL DE SAUDE DE OURICURI";0;"2300000029.003994/2022-90, OF. 025/2022, SOF.247/2022-SES/NUGEP, PLANO DE TRABALHO (31565617), EMENDA PARLAMENTAR Nº 138/22, PARA AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS, PARA ATENDER AS REDE MUNICIPAL DE SAÚDE DO MUNICÍPIO DE OURICURI-PE"
173;2023;"EKI0 - EMENDA DERIVADA 9015/2023";"FUNDO ESTADUAL DE SAÚDE";"10759784000190 - FUNDO MUNICIPAL DE SAUDE DE ALIANCA";195999.51;"2300000029.006270/2023-89, OFICIO GP.216/2023, SOF.330/2023 - SES/NUGEP, PLANO DE TRABALHO (ID: 44984932, NOTA TECNICA (ID: 44668621), EMENDA PARLAMENTAR Nº 173/2023, DESTINADO PARA AQUISIÇÃO DE MEDICAMENTOS AO MUNICÍPIO DE ALIANÇA."
174;2023;"EJT6 - EMENDA DERIVADA 9017/2023";"FUNDO ESTADUAL DE SAÚDE";"12397007000178 - FUNDO MUNICIPAL DE CHA DE ALEGRIA";200000;"2300000029.006593/2023-72. OFÍCIO GP Nº. 176/2023. SOF  346/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 174/23 OBJETIVANDO A AQUISIÇÃO DE UMA AMBULÂNCIA."
175;2023;"EJT7 - EMENDA DERIVADA 9018/2023";"FUNDO ESTADUAL DE SAÚDE";"10298546000124 - FUNDO MUNICIPAL DE SAUDE DE CUSTODIA";265000;"2300000029.006360/2023-70. OFÍCIO SMS Nº 0665/2023. SOF  335/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 175/2023 OBJETIVANDO A AQUISIÇÃO DE AMBULÂNCIA UTI."
177;2023;"EJT9 - EMENDA DERIVADA 9016/2023";"FUNDO ESTADUAL DE SAÚDE";"11472134000121 - FUNDO MUNICIPAL DE SAUDE DE FEIRA NOVA";250000;"2300000029.006152/2023-71, OFICIO 260/2023, SOF.325/2023-SES/NUGEP, PLANO DE TRABALHO: (45100249), NOTA TECNICA: (44678361), EMENDA PARLAMENTAR Nº 177/2023, DESTINADO PARA AQUISIÇÃO DE MEDICAMENTOS AO MUNICÍPIO DE FEIRA NOVA."
183;2023;"EJTF - EMENDA DERIVADA 9013/2023";"FUNDO ESTADUAL DE SAÚDE";"03061099000120 - FUNDO MUNICIPAL DE SAUDE DE SAO JOAO";200000;"2300000029.006092/2023-96, OFICIO SESAU Nº 134/2023, SOF.320/2023-SES/NUGEP, PLANO DE TRABALHO (45535929), NOTA TECNICA (45221091), EMENDA PARLAMENTAR Nº 183/2023, PARA AQUISIÇÃO DE MEDICAMENTOS AO MUNICÍPIO DE SÃO JOÃO."
184;2023;"EKFH - EMENDA DERIVADA 7004/2023";"FUNDO ESTADUAL DE SAÚDE";"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA";58131.6;"2300000029.004426/2023-97. OFÍCIO Nº 00140/2023- UBTM. SOF  274/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 184/23 REFERENTE AO CUSTEIO DE UM MÊS DE SERVIÇOS DE FISIOTERAPEUTAS PLANTONISTAS."
189;2023;"EJTJ - EMENDA DERIVADA 9014/2023";"FUNDO ESTADUAL DE SAÚDE";"09218925000188 - FUNDO MUNICIPAL DE SAUDE DE EXU";150000;"2300000029.006328/2023-94, OFICIO 287/2023, SOF.332/2023 - SES/NUGEP, PLANO DE TRABALHO (ID: 45084710), NOTA TECNICA (ID: 45074454), EMENDA PARLAMENTAR Nº 189/2023, DESTINADO PARA AQUISIÇÃO DE MEDICAMENTOS AO MUNICÍPIO DE EXÚ."
240;2023;"EKHN - EMENDA DERIVADA 8023/2023";"FUNDO ESTADUAL DE SAÚDE";"10869782000153 - IRMANDADE DA SANTA CASA DE MISERICORDIA DO RECIFE";105000;"2300000029.005619/2023-65. OFÍCIO 246/2023. SOF  295/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 240/23 REFERENTE A MANUTENÇÃO DA IRMANDADE DA SANTA CASA DE MISERICÓRDIA DO RECIFE/HOSPITAL SANTO AMARO."
243;2023;"EJIS - EMENDA DERIVADA 4006/2022";"FUNDO ESTADUAL DE SAÚDE";"11361854000110 - MUNICIPIO DE FREI MIGUELINHO";0;"2300000029.002549/2022-11, OFICIO GP Nº 187/2022 , SOF.166/2022 - SES/NUGEP, PLANO DE TRABALHO (28075789), CONFORME EMENDA PARLAMENTAR N° 243"
270;2023;"EJ98 - EMENDA DERIVADA 1007/2022";"FUNDO ESTADUAL DE SAÚDE";"11356210000133 - FUNDO MUNICIPAL DE SAUDE DO SIRINHAEM";0;"2300000029.001258/2022-05, OF.119/2022, SOF.69/2022-SES/NUGEP,  EMENDA PARLAMENTAR Nº 270/22 DESTINADA À AQUISIÇÃO DE EQUIPAMENTOS PARA O MUNICIPIO DE SIRINHAEM"
275;2023;"EKJK - EMENDA DERIVADA 9055/2023";"FUNDO ESTADUAL DE SAÚDE";"11209720000188 - FUNDO MUNICIPAL DE SAUDE DE AGUAS BELAS";1500000;"2300000029.005748/2023-53. OFÍCIO N. º 347/2023 GP/PMAB. SOF  307/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 275/2023 REF. A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS E  LOCAÇÃO DE VEÍDULOS"
305;2023;"EJR8 - EMENDA DERIVADA 9020/2023";"FUNDO ESTADUAL DE SAÚDE";"11691937000177 - CENTRO DE CAPACITACAO E FORMACAO PUBLICA - CEFOP";299060;"2300000029.005683/2023-46, OFICIO Nº 46/2023, SOF.299/2023-SES/NUGEP,NOTA TECNICA: (44100519), PLANO DE TRABALHO  (44613043), EMENDA PARLAMENTAR Nº 305, PARA REALIZAR PROJETO DE MELHORIA A ATENÇÃO INTEGRAL DA POPULAÇÃO DO JABOATÃO DOS GUARARAPES"
315;2023;"EKF9 - EMENDA DERIVADA 6011/2023";"FUNDO ESTADUAL DE SAÚDE";"08560938000178 - FUNDO MUNICIPAL DE SAUDE DE MORENO";100000;"2300000029.005946/2023-17, OFICIO GAB. 118/2023, SOF.313/2023-SES/NUGEP, PLANO DE TRABALHO: 45075832, NOTA TECNICA: (ID: 45095018), EMENDA PARLAMENTAR Nº 315/2023, PARA AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS."
333;2023;"EKHK - EMENDA DERIVADA 8007/2023";"FUNDO ESTADUAL DE SAÚDE";"10572048002686 - SECRETARIA DE SAUDE";99893.33;"2300000029.003646/2023-01. SOF  163/2023 - SES. OFÍCIO Nº 50/2023 - NUGEP. EMENDA PARLAMENTAR Nº 333/23 OBJETIVANDO EQUIPAGEM DAS RECEPÇÕES ADULTO, PEDIÁTRICA OBSTÉTRICA DO HOSP. FERNANDES SALSA NO MUNICÍPIO DE LIMOEIRO. EMPENHO GERADO SEM VALIDAÇÃO NO SIAFEM."
335;2023;"EKHH - EMENDA DERIVADA 8002/2023";"FUNDO ESTADUAL DE SAÚDE";"69902112000134 - FUNDO MUNICIPAL DE SAUDE DE VERTENTE DO LERIO";129360;"2300000029.005944/2023-28. OFÍCIO N.º 41/2023. SOF  312/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 335/23 OBJETIVANDO A AQUISIÇÃO DE UMA AMBULÂNCIA."
341;2023;"EKFR - EMENDA DERIVADA 7010/2023";"FUNDO ESTADUAL DE SAÚDE";"11504633000153 - FUNDO MUNICIPAL DE SAUDE DE TRACUNHAEM";270000;"2300000266.011211/2023-20. OFÍCIO 137/23. SOF  318/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 341/23  OBJETIVANDO A AQUISIÇÃO DE UMA VAN PARA O TRANSPORTE DE PACIENTES TFD - TRATAMENTO FORA DO DOMICÍLIO."
361;2023;"EKCG - EMENDA DERIVADA 4043/2023";"FUNDO ESTADUAL DE SAÚDE";"11292383000135 - FUNDO MUNICIPAL DE SAUDE DE SOLIDAO";200000;"2300000029.004051/2023-65. OFÍCIO SNº/2023 (40929733). SOF  254/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 361/23 OBJETIVANDO A AQUISIÇÃO DE AMBULÂNCIAS PARA ATENDER A DEMANDAS DE ATENDIMENTO A SAÚDE NO MUNICÍPIO"
363;2023;"EKHF - EMENDA DERIVADA 8046/2023";"FUNDO ESTADUAL DE SAÚDE";"11263257000152 - FUNDO MUNICIPAL DE SAUDE DE JATOBA";295205.19;"2300000029.006401/2023-28. OFÍCIO 352/2023. SOF  340/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 363/2023 REF. A AQUISIÇÃO DE INSUMOS MÉDICOS."
0367;2023;"EIU7 - EMENDA PARLAMENTAR NO.367/2021";"FUNDO ESTADUAL DE SAÚDE";"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE";0;"2300000029.002324/2022-56, OFICIO GP Nº 289/2022, SOF.151/2022-SES/NUGEP, PLANO DE TRABALHO (28168329), OBJETO: AQUISIÇÃO DE 01 AMBULANCIA PARA O MUNICIPIO, CONFORME EMENDA PARLAMENTAR Nº 0367-2021"
372;2023;"EKH8 - EMENDA DERIVADA 8028/2023";"FUNDO ESTADUAL DE SAÚDE";"02324776000192 - FUNDO MUNICIPAL DE SAUDE BELEM DE SAO FRANCISCO";600000;"2300000029.005615/2023-87. OFÍCIO GP Nº 240/2023. SOF  292/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 372/23 REF. A CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE NO POVOADO DE MALHA GRANDE DO MUNICÍPIO DE BELÉM DO SÃO FRANCISCO"
374;2023;"EKH9 - EMENDA DERIVADA 8040/2023";"FUNDO ESTADUAL DE SAÚDE";"11266869000107 - FUNDO MUNICIPAL DE SAUDE DE INAJA";110000;"2300000029.005650/2023-04, OFICIO GAB. 230/2023, SOF.296/2023-SES/NUGEP, PLANO DE TRABALHO: (45100446), NOTA TECNICA: (44024732), EMENDA PARLAMENTAR Nº 374/2023, DESTINADO AQUISIÇÃO DE AMBULÂNCIA - MUNICÍPIO DE INAJÁ PE"
379;2023;"EKGF - EMENDA DERIVADA 8001/2023";"FUNDO ESTADUAL DE SAÚDE";"09111921000104 - FUNDO MUNICIPAL DE SAUDE DE TEREZINHA";200000;"2300000029.005936/2023-81, OFICIO GP.171/2023, SOF.309/2023-SES/NUGEP, PLANO DE TRABALHO Nº (45447852), NOTA TECNICA (45507776), EMENDA PARLAMENTAR Nº 379/2023, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS HOSPITALARES PARA O MUNICIPIO DE TEREZINHA"
420;2023;"EJJB - EMENDA DERIVADA 5082/2022";"FUNDO ESTADUAL DE SAÚDE";"10785318000189 - FUNDO MUNICIPAL DE SAUDE DE SAO BENEDITO DO SUL";0;"2300000029.003099/2022-75. OFÍCIO GAB 077/22. SOF  194/2022 - SES - NUGEP. EMENDA PARLAMENTAR Nº 420/22 OBJETIVANDO A AQUISIÇÃO DE 01 VEÍCULO AMBULÂNCIA TIPO A."
427;2023;"EKIU - EMENDA DERIVADA 9042/2023";"FUNDO ESTADUAL DE SAÚDE";"07868234000102 - FUNDO MUNICIPAL DE SAUDE DE PAUDALHO";250000;"2300000029.006091/2023-41. OFÍCIO Nº 351/2023 - GAB/SMS. SOF  322/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 427/23 REF. A AQUISIÇÃO DE MATERIAIS DE CONSUMO PARA AS UNIDADES DE SAÚDE DA ATENÇÃO ESPECIALIZADA DO MUNICÍPIO DE PAUDALHO."
438;2023;"EJNB - EMENDA DERIVADA 8058/2022";"FUNDO ESTADUAL DE SAÚDE";"11371082000105 - FUNDO MUNICIPAL DE SAUDE DE CARUARU";0;"2300000029.003530/2022-83. SOF  205/2022 - SES - NUGEP. EMENDA PARLAMENTAR Nº 438/22 OBJETIVANDO A AQUISIÇÃO DE VEÍCULOS TIPO VAN PARA O TRANSPORTE INTRAMUNICIPAL DE PACIENTES EM TRATAMENTO NO MUNICÍPIO DE CARUARU/PE"
